detector_id,location_name,detector_direction,created_date,modified_date,location_latitude,location_longitude,detector_type,detector_status,detector_movement,signal_id,atd_location_id
4718,MENCHACA RD / JONES RD,Eastbound,2017-06-16T00:00:00Z,2025-04-14T22:05:00Z,30.220758,-97.794067,Loop,Ok,THRU / RIGHT TURN,191,LOC16-000945
2896,SLAUGHTER LN / 35 SVRD,Northbound,2017-06-23T00:00:00Z,2024-06-28T19:46:00Z,30.167032,-97.784981,Loop,Removed,THRU / RIGHT TURN,765,LOC16-003770
3655,ANDERSON LN SVRD / LAMAR BLVD SVRD,Northbound,2017-06-19T00:00:00Z,2024-05-21T21:43:00Z,30.347004,-97.712425,Loop,Removed,LEFT TURN,640,LOC16-003145
649,FM 2222 RD / NORTHLAND DR,Southbound,,2023-12-04T22:21:00Z,30.338467,-97.758942,Loop,Ok,LEFT TURN,439,LOC16-002155
3874,ED BLUESTEIN BLVD / LOYOLA LN,Southbound,2017-06-16T00:00:00Z,2020-06-23T20:39:00Z,30.302672,-97.661309,Loop,Removed,LEFT TURN,628,LOC16-003100
5812,CAMERON RD / BRIARCLIFF BLVD,Eastbound,2017-09-11T00:00:00Z,2025-03-04T23:09:00Z,30.317289,-97.699616,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",656,LOC16-003220
5902,MOPAC EXPY SVRD / BARTON SKWY,Southbound,2017-09-11T00:00:00Z,2020-06-30T18:59:00Z,30.263369,-97.789879,Video,Removed,"THRU / RIGHT TURN, LEFT TURN",819,LOC16-004030
4591,LAKE CREEK PKWY / 183 HWY SVRD,Northbound,2017-06-16T00:00:00Z,2023-06-01T18:02:00Z,30.461414,-97.793556,Loop,Removed,LEFT TURN,603,LOC16-003010
5841,US 290 HWY / 1826 RD,Southbound,2017-09-11T00:00:00Z,2023-12-17T16:28:00Z,30.229195,-97.888306,Video,Ok,"THRU / RIGHT TURN, LEFT TURN",703,LOC16-003465
4966,SLAUGHTER LN / LINDSHIRE LN,Southbound,2017-06-15T00:00:00Z,2019-05-20T23:22:00Z,30.178185,-97.838776,Loop,Removed,THRU / RIGHT TURN,573,LOC16-002810
5870,PARMER LN / SPECTRUM DR,Eastbound,2017-09-11T00:00:00Z,2025-04-16T19:56:00Z,30.481691,-97.767098,Video,Ok,"RIGHT TURN, THRU / LEFT TURN",776,LOC16-003820
4665,15TH ST / RIO GRANDE ST,Northbound,2017-06-16T00:00:00Z,2025-04-28T17:43:00Z,30.278841,-97.746231,Video,Ok,THRU / RIGHT TURN,217,LOC16-001065
562,LAMAR BLVD / 51ST ST,Southbound,,2024-04-09T20:00:00Z,30.31877,-97.73082,Video,Ok - Minor Issue,LEFT TURN,3,LOC16-000010
622,MENCHACA RD / STASSNEY LN,Northbound,,2021-11-24T18:02:00Z,30.215431,-97.797707,Loop,Removed,THRU / RIGHT TURN,192,LOC16-000950
3685,FM 969 RD / ED BLUESTEIN BLVD SVRD (Martin Luther King Jr Blvd / US 183),Westbound,2017-06-19T00:00:00Z,2020-06-23T20:30:00Z,30.285421,-97.664047,Loop,Removed,LEFT TURN,635,LOC16-003120
753,BRODIE LN / FRATE BARKER RD,Southbound,,2025-08-28T21:57:00Z,30.148468,-97.854904,Loop,Broken,THRU / LEFT TURN,383,LOC16-001880
2745,SOUTHWEST PKWY / MOPAC EXPY SVRD,Southbound,2017-06-23T00:00:00Z,2025-02-18T15:25:00Z,30.237743,-97.823601,Loop,Removed,LEFT TURN,793,LOC16-003900
5859,ENFIELD RD / EXPOSITION BLVD,Southbound,2017-09-11T00:00:00Z,2023-12-17T19:13:00Z,30.290598,-97.772057,Video,Ok,"THRU / RIGHT TURN, LEFT TURN",751,LOC16-003700
5838,LAKELINE MALL DR / 183 HWY SVRD,Northbound,2017-09-11T00:00:00Z,2025-02-17T23:05:00Z,30.473202,-97.798264,Video,Ok,"THRU / RIGHT TURN, LEFT TURN",691,LOC16-003405
4696,BARBARA JORDAN BLVD / LANCASTER DR,Eastbound,2017-06-16T00:00:00Z,2023-05-30T20:31:00Z,30.305956,-97.707489,Loop,Removed,THRU / RIGHT TURN,585,LOC16-002870
2897,SLAUGHTER LN / 35 SVRD,Eastbound,2017-06-23T00:00:00Z,2024-06-28T19:46:00Z,30.167032,-97.784981,Loop,Removed,LEFT TURN,765,LOC16-003770
5939,STASSNEY LN / TERI RD,Westbound,2017-09-11T00:00:00Z,2023-11-12T16:53:00Z,30.191292,-97.731155,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",465,LOC16-002280
3698,MOPAC EXPY / NORTHLAND DR (East),Eastbound,2017-06-16T00:00:00Z,2023-12-04T22:56:00Z,30.335529,-97.753723,Loop,Ok,THRU / RIGHT TURN,442,LOC16-002170
872,CAPITAL OF TEXAS HWY / RESEARCH BLVD SVRD,Southbound,,2024-05-28T22:37:00Z,30.389793,-97.744301,Loop,Broken,THRU / RIGHT TURN,858,LOC16-004220
5897,BRAKER LN / RESEARCH BLVD SVRD,Southbound,2017-09-11T00:00:00Z,2022-04-22T17:50:00Z,30.400358,-97.745499,Video,Removed,"THRU / RIGHT TURN, LEFT TURN",809,LOC16-003980
4965,SLAUGHTER LN / LINDSHIRE LN,Southbound,2017-06-15T00:00:00Z,2019-05-20T23:21:00Z,30.178185,-97.838776,Loop,Removed,LEFT TURN,573,LOC16-002810
5717,METRIC BLVD / LAMPLIGHT VILLAGE AVE,Eastbound,2017-09-11T00:00:00Z,2025-09-12T17:48:00Z,30.410704,-97.695519,Video,Ok,"THRU / RIGHT TURN, LEFT TURN",539,LOC16-002640
4601,ANDERSON MILL RD / 183 HWY SVRD,Westbound,2017-06-16T00:00:00Z,2023-12-23T20:48:00Z,30.448893,-97.790031,Loop,Ok,LEFT TURN,601,LOC16-002950
4713,MENCHACA RD / BERKELEY AVE,Eastbound,2017-06-16T00:00:00Z,2023-12-04T19:00:00Z,30.20858,-97.804848,Loop,Ok,THRU / RIGHT TURN,193,LOC16-000955
